,states
0,Alaska
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Hawaii
6,Illinois
7,Indiana
8,Kansas
9,Kentucky
10,Louisiana
11,Maryland
12,Massachusetts
13,Minnesota
14,Missouri
15,Montana
16,New Hampshire
17,New Mexico
18,North Carolina
19,Oklahoma
20,Pennsylvania
21,Rhode Island
22,South Carolina
23,Tennessee
24,Utah
25,Vermont
26,Wisconsin
27,Wyoming
